ingredient,category,recipe_unit,current_cost,cost_source,cost_locked,invoice_line_count,vendor_count,vendors,first_invoice_date,last_invoice_date,latest_vendor,latest_sku,latest_product_name,latest_invoice_unit,latest_quantity,latest_unit_price,latest_extended_price,latest_match_source
ground beef fine grnd 73/27 creekstone,Meat,lb,4.3200057783056725,invoice,false,23,3,"Premier Meats; Premier Meats & Crystal Bay; Sysco Los Angeles, Inc.",2026-03-04,2026-04-27,Premier Meats & Crystal Bay,0014046-01,GROUND BEEF FINE GRND 73/27 CREEKSTONE,LB,694.27,4.32,2999.25,sku
hellmann mayonnaise extra heavy,Dry Goods,CS,,,false,4,2,"Sysco; Sysco Los Angeles, Inc.",2026-03-28,2026-04-20,"Sysco Los Angeles, Inc.",6004857,Hellmann Mayonnaise Extra Heavy,CS,8,107.95,863.6,sku
imported fresh tomato bulk 5x6 fresh,Produce,lb,0.8612799999999999,invoice,false,30,2,"Sysco; Sysco Los Angeles, Inc.",2026-02-21,2026-04-27,Sysco,1763432,Tomato Bulk 5x6 Fresh,CS,2,107.66,215.32,sku
ketchup heinz 33% fancy,Dry Goods,lb,0.7978333333333333,invoice,false,7,1,Individual FoodService,2026-03-26,2026-04-20,Individual FoodService,G212,Ketchup Heinz 33% Fancy,CS,2,47.87,95.74,sku
ketchup packets foil,Dry Goods,g,0.0028744444444444447,invoice,false,6,1,Individual FoodService,2026-02-23,2026-04-23,Individual FoodService,G1025,Ketchup Packets Foil,CS,2,25.87,51.74,sku
ketchup vol-pack heinz,Dry Goods,CS,,,false,4,1,Individual FoodService,2026-03-19,2026-04-27,Individual FoodService,G216,Ketchup Vol-Pack Heinz,CS,1,42.82,42.82,sku
keyston sanitizer multi quat liq,Cleaning,gal,48.275,invoice,false,3,2,"Sysco; Sysco Los Angeles, Inc.",2026-03-12,2026-04-09,Sysco,8116788,Keystone Sanitizer Multi Quat Liquid,CS,1,96.55,96.55,sku
kosher flake coarse salt,Dry Goods,lb,1.6108333333333333,invoice,false,2,2,"Sysco; Sysco Los Angeles, Inc.",2026-02-26,2026-04-23,Sysco,6040760,Salt Kosher Flake Coarse,CS,1,57.99,57.99,sku
lamb potato fry ss 1/4 stealth,Frozen,lb,1.4074074074074074,invoice,false,31,2,"Sysco; Sysco Los Angeles, Inc.",2026-02-19,2026-04-23,Sysco,2141760,Potato Fry SS 1/4 Stealth,CS,16,38,608,sku
"lid portion plastic 1.5, 2, 2.5 oz",Paper/Supplies,each,0.015,manual,true,8,1,Individual FoodService,2026-03-19,2026-04-27,Individual FoodService,61254,Lid Portion Plastic,CS,1,26.16,26.16,sku
lyon medium syrup chocolate free flow,Dry Goods,gal,20.59,invoice,false,2,1,"Sysco Los Angeles, Inc.",2026-02-19,2026-03-07,"Sysco Los Angeles, Inc.",1405521,Lyon M Syrup Chocolate Free Flow,CS,2,82.36,164.72,sku
lyon medium syrup strawberry rtu,Dry Goods,gal,21.915,invoice,false,2,1,"Sysco Los Angeles, Inc.",2026-02-19,2026-03-07,"Sysco Los Angeles, Inc.",5296108,Lyon M Syrup Strawberry RTU,CS,2,87.66,175.32,sku
martins bread potato roll sandwich 3.5 inch,Bakery,each,0.3252777777777778,invoice,false,32,2,"Sysco; Sysco Los Angeles, Inc.",2026-02-19,2026-04-23,Sysco,3589484,Potato Roll Sandwich 3.5I,CS,30,23.42,702.6,sku
mustard packets 5.5 g,Dry Goods,g,0.006098181818181818,invoice,false,1,1,Individual FoodService,2026-03-26,2026-03-26,Individual FoodService,G108,Mustard Packets 5.5 g,CS,1,16.77,16.77,sku
mustard packets 5.5gr,Dry Goods,g,0.010618181818181818,invoice,false,6,1,Individual FoodService,2026-03-02,2026-04-20,Individual FoodService,G106,Mustard Packets,CS,1,11.68,11.68,sku
napkin dispenser 2-ply 8.5 x 6.5 white,Equipment,each,0.006645,invoice,false,13,1,Individual FoodService,2026-02-26,2026-04-27,Individual FoodService,18418,Napkin Dispenser 2-Ply White,CS,1,39.87,39.87,sku
