vendor,sku,product_name,category,unit,invoice_line_count,last_invoice_date
Individual FoodService,24190,Container Bagasse PF 9X9X3 1-Comp,Paper/Supplies,CS,1,2026-04-23
Premier Meats & Crystal Bay,,GROUND BEEF FINE GRND 73/27 CREEKSTONE Return/Cancelled Order,Meat,LB,1,2026-04-23
