recipeId,itemName,category,isSellable,ingredientCount,totalCost,partial,foodCostOverride,missingLines,missingNames,lines
cmo71zwlc003vibu93975zz83,Diet Coke (20 oz cup),Drinks,true,3,0.29819857954545453,false,,0,[],"[{""kind"":""ingredient"",""name"":""greeno cup pet 20 oz c&d pet"",""qty"":1,""unit"":""each"",""unitCost"":0.097,""costUnit"":""each"",""lineCost"":0.097,""missing"":false},{""kind"":""ingredient"",""name"":""greeno lid flat with hole 20 oz pe pet"",""qty"":1,""unit"":""each"",""unitCost"":0.006495454545454546,""costUnit"":""each"",""lineCost"":0.006495454545454546,""missing"":false},{""kind"":""ingredient"",""name"":""syrup diet coca cola"",""qty"":1,""unit"":""fl oz"",""unitCost"":24.922,""costUnit"":""gal"",""lineCost"":0.194703125,""missing"":false}]"
cmo6v1yji0020iku9kt4731qg,Mod: Add Pickle,Modifier,false,1,0.10799999999999998,false,,0,[],"[{""kind"":""ingredient"",""name"":""pickle chips sandwich cut 1/8\"""",""qty"":3,""unit"":""each"",""unitCost"":0.036,""costUnit"":""each"",""lineCost"":0.10799999999999998,""missing"":false}]"
cmm48coxv000doxu9f5tp4qco,Triple Slider,A La Carte,true,3,1.9012169029262482,false,,0,[],"[{""kind"":""ingredient"",""name"":""martins bread potato roll sandwich 3.5 inch"",""qty"":1,""unit"":""each"",""unitCost"":0.3252777777777778,""costUnit"":""each"",""lineCost"":0.3252777777777778,""missing"":false},{""kind"":""ingredient"",""name"":""american cheese yellow 160"",""qty"":3,""unit"":""each"",""unitCost"":0.1203125,""costUnit"":""each"",""lineCost"":0.3609375,""missing"":false},{""kind"":""ingredient"",""name"":""ground beef fine grnd 73/27 creekstone"",""qty"":4.5,""unit"":""oz"",""unitCost"":4.3200057783056725,""costUnit"":""lb"",""lineCost"":1.2150016251484703,""missing"":false}]"
cmm48cpb7000moxu9ptya9jix,The Quad,Secret Menu,true,3,2.4265299446424047,false,,0,[],"[{""kind"":""ingredient"",""name"":""martins bread potato roll sandwich 3.5 inch"",""qty"":1,""unit"":""each"",""unitCost"":0.3252777777777778,""costUnit"":""each"",""lineCost"":0.3252777777777778,""missing"":false},{""kind"":""ingredient"",""name"":""american cheese yellow 160"",""qty"":4,""unit"":""each"",""unitCost"":0.1203125,""costUnit"":""each"",""lineCost"":0.48125,""missing"":false},{""kind"":""ingredient"",""name"":""ground beef fine grnd 73/27 creekstone"",""qty"":6,""unit"":""oz"",""unitCost"":4.3200057783056725,""costUnit"":""lb"",""lineCost"":1.6200021668646272,""missing"":false}]"
cmo6u40km000eoqu9xz3mycmy,Mod: Add Sauce,Modifier,false,1,0.098828125,false,,0,[],"[{""kind"":""ingredient"",""name"":""chris & eddy's house sauce"",""qty"":0.5,""unit"":""oz"",""unitCost"":0.19765625,""costUnit"":""oz"",""lineCost"":0.098828125,""missing"":false}]"
cmm48cr2y001eoxu9e2fzmbux,Grilled Cheese,On The Side,true,3,0.5990527777777778,false,,0,[],"[{""kind"":""ingredient"",""name"":""martins bread potato roll sandwich 3.5 inch"",""qty"":1,""unit"":""each"",""unitCost"":0.3252777777777778,""costUnit"":""each"",""lineCost"":0.3252777777777778,""missing"":false},{""kind"":""ingredient"",""name"":""american cheese yellow 160"",""qty"":2,""unit"":""each"",""unitCost"":0.1203125,""costUnit"":""each"",""lineCost"":0.240625,""missing"":false},{""kind"":""ingredient"",""name"":""whole frozen butter solid usda aa unsalted"",""qty"":0.16,""unit"":""oz"",""unitCost"":3.315,""costUnit"":""lb"",""lineCost"":0.03315,""missing"":false}]"
cmm48cq12000zoxu9marews10,Straight Cut Fries,A La Carte,true,2,0.7380837037037037,false,,0,[],"[{""kind"":""ingredient"",""name"":""lamb potato fry ss 1/4 stealth"",""qty"":0.5,""unit"":""lb"",""unitCost"":1.4074074074074074,""costUnit"":""lb"",""lineCost"":0.7037037037037037,""missing"":false},{""kind"":""ingredient"",""name"":""tray food paper #50 1/2 lb white red check"",""qty"":1,""unit"":""each"",""unitCost"":0.03438,""costUnit"":""each"",""lineCost"":0.03438,""missing"":false}]"
cmo6u3zla0007oqu9r6yb296w,Mod: Add Grilled Onion,Modifier,false,2,0.0350925,false,,0,[],"[{""kind"":""ingredient"",""name"":""packer onion sweet fresh"",""qty"":0.03,""unit"":""lb"",""unitCost"":0.9487500000000001,""costUnit"":""lb"",""lineCost"":0.0284625,""missing"":false},{""kind"":""ingredient"",""name"":""whole frozen butter solid usda aa unsalted"",""qty"":0.002,""unit"":""lb"",""unitCost"":3.315,""costUnit"":""lb"",""lineCost"":0.00663,""missing"":false}]"
cmo6u40qy000goqu9aq9ddsg5,Mod: Eddy's Way,Modifier,false,2,0.13392062500000002,false,,0,[],"[{""kind"":""component"",""name"":""Mod: Add Grilled Onion"",""qty"":1,""unit"":""serving"",""unitCost"":0.0350925,""lineCost"":0.0350925,""missing"":false},{""kind"":""component"",""name"":""Mod: Add Sauce"",""qty"":1,""unit"":""serving"",""unitCost"":0.098828125,""lineCost"":0.098828125,""missing"":false}]"
cmo6u3zvw000aoqu98ny2m3ea,Mod: Add Raw Onion,Modifier,false,1,0.01802625,false,,0,[],"[{""kind"":""ingredient"",""name"":""packer onion sweet fresh"",""qty"":0.019,""unit"":""lb"",""unitCost"":0.9487500000000001,""costUnit"":""lb"",""lineCost"":0.01802625,""missing"":false}]"
cmm48cqq50017oxu9zcyyqd3z,Loaded Fries,A La Carte,true,5,1.7804362037037038,false,,0,[],"[{""kind"":""component"",""name"":""Straight Cut Fries"",""qty"":1,""unit"":""serving"",""unitCost"":0.7380837037037037,""lineCost"":0.7380837037037037,""missing"":false},{""kind"":""ingredient"",""name"":""american cheese yellow 160"",""qty"":2,""unit"":""each"",""unitCost"":0.1203125,""costUnit"":""each"",""lineCost"":0.240625,""missing"":false},{""kind"":""ingredient"",""name"":""chris & eddy's house sauce"",""qty"":3.6,""unit"":""oz"",""unitCost"":0.19765625,""costUnit"":""oz"",""lineCost"":0.7115625,""missing"":false},{""kind"":""component"",""name"":""Mod: Add Grilled Onion"",""qty"":2,""unit"":""serving"",""unitCost"":0.0350925,""lineCost"":0.070185,""missing"":false},{""kind"":""ingredient"",""name"":""cutlery fork full size extra heavy black pp"",""qty"":1,""unit"":""each"",""unitCost"":0.01998,""costUnit"":""each"",""lineCost"":0.01998,""missing"":false}]"
cmm48cs5a002ioxu9wgmll7bq,Combo 3,Combos,true,5,5.171262408501655,false,,0,[],"[{""kind"":""component"",""name"":""Triple Slider"",""qty"":2,""unit"":""serving"",""unitCost"":1.9012169029262482,""lineCost"":3.8024338058524965,""missing"":false},{""kind"":""component"",""name"":""Straight Cut Fries"",""qty"":1,""unit"":""serving"",""unitCost"":0.7380837037037037,""lineCost"":0.7380837037037037,""missing"":false},{""kind"":""component"",""name"":""Extra Chris N Eddy's Sauce"",""qty"":1,""unit"":""serving"",""unitCost"":0.6049444444,""lineCost"":0.6049444444,""missing"":false},{""kind"":""ingredient"",""name"":""chrsned bag plas tshirt logo ptsbchrisneddy"",""qty"":1,""unit"":""each"",""unitCost"":0.005865454545454545,""costUnit"":""each"",""lineCost"":0.005865454545454545,""missing"":false},{""kind"":""ingredient"",""name"":""napkin dispenser 2-ply 8.5 x 6.5 white"",""qty"":3,""unit"":""each"",""unitCost"":0.006645,""costUnit"":""each"",""lineCost"":0.019935,""missing"":false}]"
