date,itemName,category,qtySold,salesRevenue,unitCost,lineCost,status
2026-05-01,1 Slider Combo,Combos,42,482.58000000000004,3.0827270809932834,129.4745374017179,COSTED
2026-05-01,2 Slider Combo,Combos,70,1154.3,4.651209607886036,325.58467255202254,COSTED
2026-05-01,2 Sliders and Fries,Slider and Fries Combos,46,897.1400000000001,4.3553945290151415,200.3481483346965,COSTED
2026-05-01,Soda,Drinks,39,116.61000000000001,0.29181250000000003,11.3806875,COSTED
2026-05-01,Strawberry Shake,Drinks,7,31.430000000000007,1.7990109375,12.5930765625,COSTED
2026-04-14,2 Triples and Fries,Slider and Fries Combos,7,159.83,5.580764383234604,39.06535068264223,COSTED
2026-05-01,1 Slider and Fries,Uncategorized,1,13.79,11.136139773170154,11.136139773170154,COSTED
2026-05-01,Strawberry Shake (20 oz cup),Drinks,12,63.49,1.7990109375,21.58813125,COSTED
2026-05-01,Vanilla Shake (20 oz cup),Drinks,10,35.9,1.6278000000000001,16.278000000000002,COSTED
2026-05-01,Side of Yellow Chilies,Uncategorized,1,0.3,0.21850000000000003,0.21850000000000003,COSTED
2026-05-01,Coca Cola (20 oz cup),Drinks,15,53.25000000000002,0.29181250000000003,4.377187500000001,COSTED
2026-05-01,Chocolate Shake,Drinks,8,35.92,1.7886593750000002,14.309275000000001,COSTED
2026-05-01,1 Slider and Fries,Slider and Fries Combos,17,219.35,3.225981773170154,54.84169014389262,COSTED
2026-05-01,Chocolate Shake (20 oz cup),Drinks,10,53.9,1.7886593750000004,17.886593750000003,COSTED
2026-05-01,Side of Yellow Chilies,On The Side,54,15.999999999999998,0.21850000000000003,11.799000000000001,COSTED
2026-04-26,1 Slider Combo,Combos,50,574.5000000000001,3.0531299308094457,152.6564965404723,COSTED
2026-04-26,2 Slider Combo,Combos,93,1533.5700000000004,4.571280752789688,425.129110009441,COSTED
2026-04-02,1 Slider Combo,Combos,37,425.13000000000005,2.979576137870195,110.24431710119721,COSTED
2026-04-02,2 Slider Combo,Combos,61,1005.8900000000003,4.631679689457812,282.53246105692654,COSTED
2026-04-02,Chocolate Shake,Drinks,1,4.49,1.748259375,1.748259375,COSTED
2026-04-02,Chocolate Shake (20 oz cup),Drinks,3,16.169999999999998,1.748259375,5.244778125,COSTED
2026-04-02,Coca Cola (20 oz cup),Drinks,9,32.31,0.29181250000000003,2.6263125,COSTED
2026-04-02,Coke Zero (20 oz cup),Drinks,2,6.92,0.29181250000000003,0.5836250000000001,COSTED
2026-04-02,Diet Coke (20 oz cup),Drinks,8,28.72,0.300828125,2.406625,COSTED
2026-04-02,Hi-C (20 oz cup),Drinks,6,21.54,0.300828125,1.80496875,COSTED
